tmdb_id,title,year,native_4k,mastering,hdr,dolby_vision,audio,tmdb_rating,cn_title,genre,date_added,has_local,emby_url
8202,Æon Flux,2005,0,Upscaled 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,5.6,魔力女战士,科幻/动作/惊悚,,0,
1084242,Zootopia 2,2025,0,Upscaled 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.7,疯狂动物城2,动画/冒险/喜剧/悬疑/家庭,2026-03-30,0,
269149,Zootopia,2016,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.8,疯狂动物城,动画/冒险/家庭/喜剧,,0,
338967,Zombieland: Double Tap,2019,0,Upscaled 4K,HDR10,"DTS: X, 7.1 DTS-HD MA",,6.9,丧尸乐园2,恐怖/喜剧,2026-07-06,0,
19908,Zombieland,2009,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.3,丧尸乐园,喜剧/恐怖,,0,
923,Zombi: Dawn of the Dead,1978,1,Native 4K,HDR10,5.1 DTS-HD-MA,,7.5,活死人黎明,恐怖/科幻,,0,
1949,Zodiac,2007,0,Upscaled 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.5,十二宫,犯罪/悬疑/惊悚,2026-08-28,0,
97630,Zero Dark Thirty,2012,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.0,猎杀本·拉登,惊悚/剧情,,0,
791373,Zack Snyder's Justice League,2021,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,8.1,扎克·施奈德版正义联盟,动作/冒险/奇幻,2025-03-23,0,
372058,Your Name.,2016,0,Upscaled 4K,HDR10,5.1 DTS-HD MA,,8.5,你的名字。,动画/爱情/剧情,2026-09-11,0,
667,You Only Live Twice,1967,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.6,007：雷霆谷,动作/惊悚/冒险,,0,
34106,You Can't Take It with You,1938,1,Native 4K,HDR10,Dolby Vision,Lossless Mono,7.5,浮生若梦,喜剧/爱情,,0,
14295,You Can Count on Me,2000,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.9,我办事你放心,剧情,,0,
515195,Yesterday,2019,1,Native 4K,HDR10+,"Dolby Atmos, True-HD 7.1",,6.7,昨日奇迹,喜剧/奇幻/音乐/爱情,,0,
47971,xXx: Return of Xander Cage,2017,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.1,极限特工3：终极回归,动作/冒险/犯罪,2025-03-23,0,
15668,Xanadu,1980,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,5.7,仙乐都,奇幻/科幻/爱情,,0,
36658,X2: X-Men United,2003,1,Native 4K,HDR10,5.1 DTS-HD-MA,,7.0,X战警2,冒险/动作/科幻,,0,
63590,X-Ray,1982,1,Native 4K,HDR10,DTS-HD MA 2.0 Mono,,5.2,医院大屠杀,恐怖/惊悚,,0,
36668,X-Men: The Last Stand,2006,0,Upscaled 4K,HDR10,DTS-HD MA 6.1,,6.4,X战警3：背水一战,冒险/动作/科幻,2026-03-27,0,
49538,X-Men: First Class,2011,0,Upscaled 4K,HDR10,5.1 DTS-HD-MA,,7.3,X战警：第一战,动作/科幻/冒险,2025-03-23,0,
127585,X-Men: Days of Future Past,2014,0,Upscaled 4K,HDR10,7.1 DTS-HD-MA,,7.5,X战警：逆转未来,动作/冒险/科幻,2026-03-27,0,
320288,X-Men: Dark Phoenix,2019,0,Upscaled 4K,HDR10+,"Dolby Atmos, True-HD 7.1",,6.0,X战警：黑凤凰,科幻/动作/冒险,,0,
246655,X-Men: Apocalypse,2016,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.5,X战警：天启,科幻/奇幻/动作,2026-03-27,0,
36668,X-Men- The Last Stand,2006,0,Upscaled 4K,HDR10,6.1 DTS-HD-MA,,6.4,X战警3：背水一战,冒险/动作/科幻,2026-03-27,0,
36657,X-Men,2000,1,Native 4K,HDR10,5.1 DTS-HD-MA,,7.0,X战警,冒险/动作/科幻,2026-03-27,0,
1316092,Wuthering Heights,2026,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.7,“呼啸山庄”,爱情/剧情,2026-08-28,0,
82690,Wreck-It Ralph,2012,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.4,无敌破坏王,N/A,,0,
57165,Wrath of the Titans,2012,0,Upscaled 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,5.8,诸神之怒,奇幻/冒险/动作,,0,
637649,Wrath of Man,2021,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.6,人之怒,惊悚/犯罪/剧情,,0,
72190,World War Z,2013,0,Upscaled 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.9,僵尸世界大战,动作/恐怖/科幻,,0,
787699,Wonka,2023,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.0,旺卡,喜剧/家庭/奇幻,,0,
402980,Wonders Of The Arctic,2014,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.2,北极奇观,纪录/冒险,2026-09-11,0,
537055,Wonder Woman Bloodlines,2019,0,Upscaled 4K,HDR10,5.1 DTS-HD-MA,,6.9,神奇女侠：血脉,科幻/动画,,0,
464052,Wonder Woman 1984,2020,1,Native 4K,HDR10+,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.3,神奇女侠1984,动作/冒险/奇幻,,0,
297762,Wonder Woman,2017,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.2,神奇女侠,动作/冒险/奇幻,2026-09-12,0,
406997,Wonder,2017,0,Upscaled 4K,HDR10,Dolby Vision,TrueHD 7.1 (No Atmos),8.1,奇迹男孩,家庭/剧情,2025-03-23,0,
710295,Wolf Man,2025,1,Native 4K,HDR10,Dolby Atmos,,6.1,狼人,恐怖/惊悚,,0,
110420,Wolf Children,2012,0,Upscaled 4K,HDR10,5.1 DTS-HD MA,,8.2,狼的孩子雨和雪,动画/家庭/剧情/奇幻,,0,
13446,Withnail and I,1987,1,Native 4K,HDR10,Dolby Vision,LPCM Mono,7.2,我与长指甲,喜剧/剧情,,0,
